"Rank","Team","Points","Conference","Change","Previous.Rank","Previous.Ranking.Class","Year","Season","Gender","Division","Description","elevation","lat","long"
13,"MICHIGAN",395,"Big Ten",-9,4,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",879,42.278,-83.738
14,"NORTHERN ARIZONA",406,"Big Sky",18,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",6893,35.18,-111.654
15,"NOTRE DAME",415,"ACC",-7,8,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",725,41.699,-86.239
16,"UTAH",471,"Pac-12",16,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",4783,40.765,-111.842
17,"BOISE STATE",474,"Mountain West",-11,6,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",2730,43.603,-116.206
18,"PENN STATE",482,"Big Ten",2,20,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",1148,40.798,-77.86
19,"INDIANA",509,"Big Ten",-2,17,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",771,39.178,-86.513
20,"BOSTON COLLEGE",514,"ACC",12,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",154,42.336,-71.169
21,"OLE MISS",541,"SEC",1,22,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",509,34.365,-89.538
22,"ILLINOIS",549,"Big Ten",10,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",751,40.102,-88.227
23,"OHIO STATE",566,"Big Ten",9,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",741,40.001,-83.031
24,"VILLANOVA",575,"Big East",0,24,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",459,40.037,-75.343
25,"TULSA",584,"American",7,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",778,36.152,-95.946
26,"OREGON",618,"Pac-12",-23,3,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",446,44.045,-123.073
27,"COLUMBIA",624,"Ivy League",-9,18,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",138,40.808,-73.963
28,"MINNESOTA",691,"Big Ten",1,29,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",830,44.974,-93.228
29,"CORNELL",693,"Ivy League",3,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",896,42.453,-76.474
30,"TEXAS",713,"Big 12",1,31,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd",522,30.285,-97.734
31,"HARVARD",787,"Ivy League",1,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd",10,42.377,-71.117
1,"NORTHERN ARIZONA",83,"Big Sky",0,1,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",6893,35.18,-111.654
2,"BYU",116,"WCC",1,3,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",4665,40.252,-111.649
3,"PORTLAND",160,"WCC",-1,2,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",33,45.573,-122.728
4,"COLORADO",178,"Pac-12",4,8,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",5345,40.001,-105.266
5,"STANFORD",201,"Pac-12",-1,4,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",89,37.428,-122.17
